A  a
ACCABLEMENT  a k a b l x^ m a~
ACCABLENT  a k a b l q
ACCABLÉ  a k a b l e
ACCABLÉE  a k a b l e
ACCABLÉS  a k a b l e
ACCENT  a k s a~
ACCENTUA  a k s a~ t y a
ACCENTUER  a k s a~ t y e
ACCENTUÉE  a k s a~ t y e
ACCEPTA  a k s e^ p t a
ACCEPTABLE  a k s e^ p t a b l
ACCEPTAIS  a k s e^ p t e^
ACCEPTAIT  a k s e^ p t e^
ACCEPTATION  a k s e^ p t a s j o~
ACCEPTE  a k s e^ p t
ACCEPTER  a k s e^ p t e
ACCEPTERAIT  a k s e^ p t x^ r e^
ACCEPTEREZ  a k s e^ p t x^ r e
ACCEPTEZ  a k s e^ p t e z
ACCEPTEZ  a k s e^ p t e
ACCEPTÈRENT  a k s e^ p t e^ r
ACCEPTÉ  a k s e^ p t e
ACCEPTÉE  a k s e^ p t e
ACCESSIBLE  a k s e s i b l
ACCESSIT  a k s e s i t
ACCIDENT  a k s i d a~
ACCIDENTS  a k s i d a~
ACCOINTANCES  a k w e~ t a~ s
ACCOMMODANTE  a k o^ m o^ d a~ t
ACCOMPAGNA  a k o~ p a n j a
ACCOMPAGNAIENT  a k o~ p a n j e^ t
ACCOMPAGNAIENT  a k o~ p a n j e^
ACCOMPAGNAIT  a k o~ p a n j e^
ACCOMPAGNANT  a k o~ p a n j a~
ACCOMPAGNE  a k o~ p a n~ q
ACCOMPAGNER  a k o~ p a n j e
ACCOMPAGNERAI-JE  a k o~ p a n j x^ r e z^
ACCOMPAGNÉ  a k o~ p a n j e
ACCOMPAGNÉE  a k o~ p a n j e
ACCOMPAGNÉES  a k o~ p a n j e
ACCOMPAGNÉS  a k o~ p a n j e
ACCOMPLI  a k o~ p l i
ACCOMPLIE  a k o~ p l i
ACCOMPLIR  a k o~ p l i r
ACCOMPLIRA  a k o~ p l i r a
ACCOMPLIS  a k o~ p l i
ACCORD  a k o^ r
ACCORDAIT  a k o^ r d e^
ACCORDE  a k o^ r d
ACCORDER  a k o^ r d e
ACCORDEZ-MOI  a k o^ r d e m w a
ACCORDEZ-NOUS  a k o^ r d e n u
ACCORDÉ  a k o^ r d e
ACCOSTAIT  a k o^ s t e^ t
ACCOSTÉ  a k o^ s t e
ACCOSTÉES  a k o^ s t e
ACCOUCHEMENT  a k u s^ m a~
ACCOUCHÉE  a k u s^ e
ACCOUDÉ  a k u d e
ACCOUDÉE  a k u d e
ACCOURANT  a k u r a~
ACCOURUE  a k u r y
ACCOURUT  a k u r y
ACCROCHE  a k r o^ s^
ACCROCHER  a k r o^ s^ e
ACCROCHÉ  a k r o^ s^ e
ACCROCHÉE  a k r o^ s^ e
ACCROCHÉS  a k r o^ s^ e z
ACCROIRE  a k r w a r
ACCROUPIE  a k r u p i
ACCROUPIS  a k r u p i z
ACCROUPIS  a k r u p i
ACCROÎTREZ  a k r w a t r e
ACCRUE  a k r y
ACCUEIL  a k x^ j
ACCUEILLIE  a k x^ j i
ACCUEILLIES  a k x^ j i
ACCUEILLIR  a k x^ j i r
ACCUEILLIS  a k x^ j i z
ACCUEILLIS  a k x^ j i
ACCUSA  a k y z a
ACCUSAIT  a k y z e^
ACCUSANT  a k y z a~
ACCUSATEURS  a k y z a t x^ r
ACCUSATION  a k y z a s j o~
ACCUSATIONS  a k y z a s j o~ z
ACCUSE  a k y z
ACCUSE  a k y z q
ACCUSENT  a k y z
ACCUSER  a k y z e
ACCUSERAI  a k y z x^ r e
ACCUSERAIT  a k y z x^ r e^
ACCUSÉ  a k y z e
ACCUSÉE  a k y z e
ACCÈS  a k s e^
ACHARNEMENT  a s^ a r n x^ m a~ t
ACHARNÉ  a s^ a r n e
ACHARNÉE  a s^ a r n e
ACHATS  a s^ a
ACHEMINERONS  a s^ x^ m i n x^ r o~
ACHETA  a s^ x^ t a
ACHETAIENT  a s^ x^ t e^
ACHETAIT  a s^ x^ t e^
ACHETER  a s^ x^ t e
ACHETER  a s^ t e
ACHETER  a s^ x^ t e r
ACHETER  a s^ q t e
ACHETER  a s^ x t e
ACHETEUR  a s^ x^ t x^ r
ACHETEZ  a s^ x^ t e z
ACHETEZ-MOI  a s^ t e m w a
ACHETÉ  a s^ t e
ACHETÉ  a s^ x^ t e
ACHETÉE  a s^ x^ t e
ACHETÉS  a s^ x^ t e
ACHEVER  a s^ v e
ACHEVER  a s^ x^ v e
ACHEVEZ  a s^ x^ v e
ACHEVÉ  a s^ x^ v e
ACHEVÉES  a s^ x^ v e
ACHÈTE  a k e^ t
ACHÈTE  a s^ e^ t
ACHÈTENT  a s^ e^ t
ACHÈTERAI  a s^ e^ t r e
ACHÈVE  a s^ e^ v
ACIER  a s j e
ACOUSTIQUE  a k u s t i k
ACQUIESCEMENT  a k j e^ s m a~
ACQUIS  a k i
ACQUIS  a k i z
ACQUISE  a k i z
ACQUISES  a k i z
ACQUISITION  a k i z i s j o~
ACQUIT  a k i
ACQUÉRIR  a k e r i r
ACRE  a k r
ACRES  a k r q
ACTE  a k t
ACTE  a k t q
ACTES  a k t
ACTES  a k t x^ z
ACTEURS  a k t x^ r
ACTIF  a k t i f
ACTIFS  a k t i f
ACTION  a k s j o~
ACTIONNAIRE  a k s j o^ n e^ r
ACTIONNÉE  a k s j o^ n e
ACTIONS  a k s j o~
ACTIVE  a k t i v
ACTIVEMENT  a k t i v m a~
ACTIVES  a k t i v
ACTRICE  a k t r i s
ACTRICES  a k t r i s
ACTUELLE  a k t y e^ l
ACTUELLEMENT  a k t y e^ l m a~
ACÉRÉE  a s e r e
ACÉRÉS  a s e r e
ADAGIOS  a d a d z^ j o
ADHÈRENT  a d e^ r t
ADIEU  a d j x
ADIEUX  a d j x
ADIEUX  a d j x z
ADJOINT  a d z^ w e~
ADMETTANT  a d m e t a~
ADMETTRE  a d m e^ t r q
ADMINISTRATIFS  a d m i n i s t r a t i f
ADMINISTRATION  a d m i n i s t r a s j o~
ADMINISTRÉ  a d m i n i s t r e
ADMINISTRÉE  a d m i n i s t r e
ADMINISTRÉS  a d m i n i s t r e
ADMIRABLE  a d m i r a b l
ADMIRABLE  a d m i r a b l q
ADMIRABLEMENT  a d m i r a b l x^ m a~
ADMIRABLES  a d m i r a b l
ADMIRABLES  a d m i r a b l q
ADMIRANT  a d m i r a~ t
ADMIRATION  a d m i r a s j o~
ADMIRATIONS  a d m i r a s j o~ z
ADMIRE  a d m i r
ADMIRER  a d m i r e
ADMIRÉ  a d m i r e
ADMIRÉE  a d m i r e
ADMIS  a d m i
ADMISE  a d m i z q
ADMONESTER  a d m o^ n e^ s t e
ADOLESCENT  a d o^ l e s a~
ADOPTIVE  a d o^ p t i v q
ADOPTÉ  a d o^ p t e
ADORABLE  a d o^ r a b l q
ADORABLE  a d o^ r a b l
ADORAIT  a d o^ r e^
ADORATEUR  a d o^ r a t x^ r
ADORATION  a d o^ r a s j o~
ADORE  a d o^ r q
ADORENT  a d o^ r t
ADORER  a d o^ r e
ADORÉ  a d o^ r e
ADORÉE  a d o^ r e
ADOSSÉ  a d o s e
ADOUCIR  a d u s i r
ADRESSAIT  a d r e^ s e^
ADRESSANT  a d r e^ s a~
ADRESSE  a d r e^ s
ADRESSER  a d r e s e
ADRESSER  a d r e s e r
ADRESSEZ-VOUS  a d r e s e v u z
ADRESSÉ  a d r e s e
ADRESSÉE  a d r e s e
ADRESSÉES  a d r e s e
ADROIT  a d r w a
ADROITE  a d r w a t
ADROITEMENT  a d r w a t m a~
ADROITEMENT  a d r w a t x^ m a~
ADULTÈRE  a d y l t e^ r
ADULÉE  a d y l e
ADVERSAIRE  a d v e^ r s e^ r
ADVERSAIRES  a d v e^ r s e^ r
ADÈLE  a d e^ l q
ADÈLE  a d e^ l
AFFABILITÉ  a f a b i l i t e
AFFABLE  a f a b l q
AFFABLE  a f a b l
AFFAIBLI  a f e b l i
AFFAIBLIR  a f e b l i r
AFFAIRE  a f e^ r
AFFAIRES  a f e^ r
AFFAIRES  a f e^ r z
AFFAIRÉE  a f e r e
AFFAISSÉ  a f e s e
AFFAMÉ  a f a m e
AFFAMÉE  a f a m e
AFFECTAIENT  a f e^ k t e^
AFFECTAIT  a f e^ k t e^ t
AFFECTAIT  a f e^ k t e^
AFFECTATION  a f e^ k t a s j o~
AFFECTEZ  a f e^ k t e z
AFFECTION  a f e^ k s j o~
AFFECTIONNÉ  a f e^ k s j o^ n e
AFFECTIONNÉS  a f e^ k s j o^ n e
AFFECTIONS  a f e^ k s j o~
AFFECTUEUSE  a f e^ k t y x z
AFFECTUEUSE  a f e^ k t y x z q
AFFECTUEUSEMENT  a f e^ k t y x z m a~
AFFECTUEUSES  a f e^ k t y x z
AFFECTUEUX  a f e^ k t h x
AFFECTUEUX  a f e^ k t y x
AFFECTÉ  a f e^ k t e
AFFECTÉE  a f e^ k t e
AFFICHER  a f i s^ e
AFFILÉ  a f i l e
AFFILÉS  a f i l e
AFFILÉS  a f i l e z
AFFINITÉ  a f i n i t e
AFFIRMAIT  a f i r m e^
AFFIRMAIT  a f i r m e^ t
AFFIRMATIF  a f i r m a t i f
AFFIRMATIVEMENT  a f i r m a t i v m a~
AFFIRME  a f i r m q
AFFIRME  a f i r m
AFFIRMENT  a f i r m q
AFFIRMER  a f i r m e
AFFIRMERA  a f i r m x^ r a
AFFIRMERONT  a f i r m x^ r o~
AFFIRMEZ  a f i r m e
AFFIRMÉ  a f i r m e
AFFLIGEANT  a f l i z^ a~
AFFLUAIENT-ELLES  a f l y e^ t e^ l
AFFRANCHI  a f r a~ s^ i
AFFREUSE  a f r x z q
AFFREUSE  a f r x z
AFFREUSEMENT  a f r x z m a~
AFFREUSEMENT  a f r x z m a~ t
AFFREUX  a f r x
AFFREUX  a f r x z
AFFRIANDENT  a f r i j a~ d q
AFFRONTE  a f r o~ t
AFFRONTERAIT  a f r o~ t x^ r e^
AFFRÉTÉ  a f r e t e
AGACE  a g a s
AGACEMENT  a g a s m a~
AGACER  a g a s e
AGACÉ  a g a s e
AGAMEMNON  a g a m e^ m n o~
AGENCE  a z^ a~ s
AGENDA  a z^ e~ d a
AGENOUILLÉ  a z^ x^ n u j e
AGENOUILLÉE  a z^ x^ n u j e
AGENOUILLÉS  a z^ n u j e
AGENT  a z^ a~
AGENTE  a z^ a~ t
AGENTS  a z^ a~
AGI  a z^ i
AGILE  a z^ i l q
AGILE  a z^ i l
AGILITÉ  a z^ i l i t e
AGIR  a z^ i r
AGISSANT  a z^ i s a~ t
AGISSEMENTS  a z^ i s m a~
AGISSEZ  a z^ i s e
AGIT  a z^ i
AGITA  a z^ i t a
AGITAIENT  a z^ i t e^
AGITAIT  a z^ i t e^
AGITANT  a z^ i t a~
AGITATION  a z^ i t a s j o~
AGITE  a z^ i t
AGITER  a z^ i t e
AGITÈRENT  a z^ i t e^ r
AGITÉE  a z^ i t e
AGITÉS  a z^ i t e
AGNEAU  a n j o
AGNEAUX  a n j o
AGONIE  a g o^ n i
AGONISANTE  a g o^ n i z a~ t
AGONISANTS  a g o^ n i z a~
AGRAFES  a g r a f
AGRANDIS  a g r a~ d i
AGRESSION  a g r e s j o~
AGRESTE  a g r e^ s t
AGRESTE  a g r e^ s t q
AGRICOLES  a g r i k o^ l
AGRICULTURE  a g r i k y l t y r
AGRÉABLE  a g r e a b l
AGRÉABLE  a g r e a b l q
AGRÉABLEMENT  a g r e a b l x^ m a~
AGRÉABLES  a g r e a b l q
AGRÉMENTS  a g r e m a~
AGRÉMENTÉE  a g r e m a~ t e
AGUETS  a g e^
AGUICHÉ  a g i s^ e
AH  a
AHURIE  a y r i
AI  e
AI-JE  e z^
AIDAIENT  e^ d e^
AIDAIT  e^ d e^ t
AIDANT  e^ d a~
AIDE  e^ d q
AIDE  e^ d
AIDE-CHIRURGIEN-MAJOR  e^ d s^ i r y r z^ j e~ m a z^ o^ r
AIDE-ÉQUARISSEUR  e^ d e k a r i s x^ r
AIDER  e d e r
AIDER  e d e
AIDEZ-MOI  e d e m w a
AIDÉ  e d e
AIE  a j
AIENT  e^ t
AIES  e^
AIGLE  e^ g l
AIGRE  e^ g r
AIGRE  e^ g r q
AIGRE  e^ g r x^
AIGREMENT  e^ g r x^ m a~
AIGRETTE  e^ g r e^ t q
AIGRIE  e^ g r i
AIGRIT  e g r i
AIGU  e g y
AIGUILLE  e g h i j
AIGUISÉ  e g i z e
AIGUISÉS  e g i z e
AIGUS  e g y
AIGUË  e g y
AIGUËS  e g y
AIGUËS  e g y z
AILE  e^ l
AILERON  e^ l r o~
AILERONS  e^ l r o~
AILES  e^ l
AILLE  a j
AILLE  a j q
AILLENT  a j t
AILLEURS  a j x^ r
AILÉE  e l e
AILÉES  e l e
AIMABLE  e^ m a b l
AIMABLE  e^ m a b l x^
AIMABLES  e^ m a b l
AIMAIT  e^ m e^
AIMAIT  e^ m e^ t
AIMANT  e^ m a~
AIMANT  e^ m a~ t
AIMANTE  e^ m a~ t
AIMANTS  e^ m a~
AIME  e^ m
AIME  e^ m q
AIME-T-IL  e^ m t i l
AIMER  e m e
AIMERA  e^ m x^ r a
AIMERAIT  e^ m x^ r e^
AIMES  e^ m
AIMEZ  e m e
AIMEZ-VOUS  e m e v u
AIMIEZ  e m j e
AIMÉ  e m e
AIMÉE  e m e
AIMÉS  e m e
AINSI  e~ s i
AIR  e^ r
AIRS  e^ r
AIRS-LÀ  e^ r l a
AISANCE  e^ z a~ s
AISE  e^ z
AISE  e^ z q
AISES  e^ z
AISÉE  e z e
AISÉES  e z e
AISÉS  e z e
AIT  e^
AIT  e^ t
AIT  e
AJOUTA  a z^ u t a
AJOUTA-T-ELLE  a z^ u t a t e^ l
AJOUTA-T-ELLE  a z^ u t a t e^ l q
AJOUTA-T-IL  a z^ u t a t i l
AJOUTA-T-IL  a z^ u t a t i l q
AJOUTAIENT  a z^ u t e^
AJOUTAIENT-ILS  a z^ u t e^ t i l z
AJOUTAIT  a z^ u t e^
AJOUTAIT-IL  a z^ u t e^ t i l
AJOUTANT  a z^ u t a~
AJOUTANT  a z^ u t a~ t
AJOUTER  a z^ u t e
AJOUTER  a z^ u t e r
AJOUTERONS  a z^ u t x^ r o~
AJOUTEZ-Y  a z^ u t e z i
AJOUTÉ  a z^ u t e
AJUSTÉS  a z^ y s t e z
ALARMÉ  a l a r m e
ALBERT  a l b e^ r
ALBINOS  a l b i n o s
ALCIBIADE  a l s i b j a d q
ALCIDES  a l s i d
ALCÔVE  a l k o v
ALENTOUR  a l a~ t u r
ALERTE  a l e^ r t
ALERTES  a l e^ r t x^ z
ALFRED  a l f r e^ d
ALFRED  a l f r e^ d q
ALGER  a l z^ e
ALGÉRIE  a l z^ e r i
ALITÉ  a l i t e
ALITÉE  a l i t e
ALIÉNÉS  a l j e n e
ALLA  a l a
ALLAIENT  a l e^
ALLAIS  a l e^
ALLAIT  a l e^
ALLAIT  a l e^ t
ALLANT  a l a~
ALLANT  a l a~ t
ALLEMAGNE  a l m a n~ q
ALLEMAGNE  a l x^ m a n j
ALLEMAGNE  a l m a n j
ALLEMAND  a l x^ m a~
ALLEMAND  a l m a~
ALLEMANDES  a l x^ m a~ d q
ALLEMANDES  a l m a~ d
ALLER  a l e
ALLER  a l e r
ALLEZ  a l e
ALLEZ  a l e z
ALLEZ-VOUS  a l e v u
ALLEZ-VOUS  a l e v u z
ALLEZ-VOUS-EN  a l e v u z a~
ALLIEZ-VOUS  a l j e v u
ALLIONS  a l j o~
ALLIONS  a l j o~ z
ALLLLLEZ  a l e
ALLONGEAIENT  a l o~ z^ e^
ALLONGEAIS  a l o~ z^ e^ z
ALLONGEAIT  a l o~ z^ e^
ALLONGEAIT  a l o~ z^ e^ t
ALLONGÉ  a l o~ z^ e
ALLONS  a l o~
ALLONS  a l o~ z
ALLONS-NOUS  a l o~ n u
ALLONS-NOUS-EN  a l o~ n u z a~
ALLUMA  a l y m a
ALLUMANT  a l y m a~
ALLUMER  a l y m e
ALLUMETTE  a l y m e^ t
ALLUMETTES  a l y m e^ t
ALLUMÈRENT  a l y m e^ r
ALLUMÉ  a l y m e
ALLURES  a l y r z
ALLUSION  a l y z j o~
ALLUSIONS  a l y z j o~
ALLÈGREMENT  a l e^ g r x^ m a~
ALLÈRENT  a l e^ r t
ALLÈRENT  a l e^ r
ALLÉ  a l e
ALLÉE  a l e
ALLÉES  a l e
ALLÉGORIQUEMENT  a l e g o^ r i k x^ m a~
ALLÉGORIQUES  a l e g o^ r i k
ALMANACH  a l m a n a k
ALORS  a l o^ r
ALORS  a l o^ r z
ALOUETTE  a l w e^ t
ALOURDIES  a l u r d i
ALOYAUX  a l w a j o
ALOÈS  a l o^ e^ s
ALSACIEN  a l z a s j e~
ALTERNATIVEMENT  a l t e^ r n a t i v m a~
ALTERNATIVES  a l t e^ r n a t i v
ALTESSE  a l t e^ s
ALTESSE  a l t e^ s q
ALTIÈRE  a l t j e^ r
ALTIÈRES  a l t j e^ r
ALTÉRÉ  a l t e r e
ALTÉRÉE  a l t e r e
AMAIGRI  a m e g r i
AMAIGRIE  a m e^ g r i
AMAIGRIS  a m e g r i
AMALGAME  a m a l g a m
AMANDE  a m a~ d
AMANDES  a m a~ d
AMANDES  a m a~ d q
AMANT  a m a~
AMANTES  a m a~ t
AMANTS  a m a~
AMANTS  a m a~ z
AMASSER  a m a s e
AMATEUR  a m a t x^ r
AMATEURS  a m a t x^ r
AMBASSADE  a~ b a s a d
AMBASSADEUR  a~ b a s a d x^ r
AMBASSADEURS  a~ b a s a d x^ r
AMBIANTE  a~ b j a~ t
AMBITIEUSE  a~ b i s j x z
AMBITIEUSES  a~ b i s j x z z
AMBITIEUSES  a~ b i s j x z
AMBITIEUX  a~ b i s j x
AMBITION  a~ b i s j o~
AMBITIONNER  a~ b i s j o^ n e
AMENA  a m x^ n a
AMENAIENT  a m x^ n e^
AMENAIT  a m x^ n e^
AMENER  a m x^ n e
AMENÉ  a m x^ n e
AMENÉ  a m n e
AMENÉES  a m x^ n e
AMER  a m e^ r
AMERS  a m e^ r z
AMERTUME  a m e^ r t y m q
AMERTUME  a m e^ r t y m
AMI  a m i
AMICAL  a m i k a l
AMICALEMENT  a m i k a l m a~
AMIE  a m i
AMIES  a m i
AMIS  a m i
AMIS  a m i z
AMITIÉ  a m i t j e
AMOINDRI  a m w e~ d r i
AMORCER  a m o^ r s e
AMORTIR  a m o^ r t i r
AMOUR  a m u r
AMOURETTE  a m u r e^ t
AMOUREUSE  a m u r x z
AMOUREUSES  a m u r x z
AMOUREUX  a m u r x
AMOURS  a m u r
AMPHIBIE  a~ f i b i
AMPHITRYON  a~ f i t r i j o~
AMPLE  a~ p l
AMPLE  a~ p l q
AMUSAIENT  a m y z e^
AMUSAIT  a m y z e^
AMUSANT  a m y z a~
AMUSANTE  a m y z a~ t
AMUSE  a m y z
AMUSEMENT  a m y z m a~
AMUSER  a m y z e
AMUSERA  a m y z r a
AMUSERA  a m y z x^ r a
AMUSERAIT  a m y z x^ r e^
AMUSÉ  a m y z e
AMÈNE  a m e^ n
AMÈNE  a m e^ n q
AMÈRE  a m e^ r
AMÈREMENT  a m e^ r m a~
AMÈREMENT  a m e^ r m a~ t
AMÈREMENT  a m e^ r x^ m a~
AMÈRES  a m e^ r
AMÈRES  a m e^ r z
AMÉLIORATION  a m e l j o^ r a s j o~
AMÉLIORATIONS  a m e l j o^ r a s j o~
AMÉLIORE  a m e l j o^ r
AMÉLIORER  a m e l j o^ r e
AMÉLIOREZ  a m e l j o^ r e
AMÉNITÉ  a m e n i t e
AMÉRICAIN  a m e r i k e~
AMÉRICAINES  a m e r i k e^ n
AMÉRICAINS  a m e r i k e~
AMÉRIQUE  a m e r i k
AN  a~
ANANAS  a n a n a s
ANASTASIE  a n a s t a z i
ANCIEN  a~ s j e~
ANCIEN  a~ s j e~ n
ANCIENNE  a~ s j e^ n
ANCIENS  a~ s j e~
ANCIENS  a~ s j e~ z
AND  e^ n
ANDOUILLES  a~ d u j
ANECDOTE  a n e^ g d o^ t
ANGE  a~ z^
ANGE  a~ z^ q
ANGERS  a~ z^ e
ANGES  a~ z^
ANGLAIS  a~ g l e^
ANGLAISE  a~ g l e^ z
ANGLAISE  a~ g l e^ z q
ANGLAISES  a~ g l e^ z
ANGLE  a~ g l q
ANGLE  a~ g l
ANGLES  a~ g l q
ANGLES  a~ g l
ANGLETERRE  a~ g l x^ t e^ r
ANGLO-FRANÇAISE  a~ g l o f r a~ s e^ z q
ANGLO-SAXONS  a~ g l o s a k s o~
ANGOISSE  a~ g w a s
ANGOISSES  a~ g w a s
ANGUILLE  a~ g i j q
ANGÉLIQUE  a~ z^ e l i k
ANIMAIENT  a n i m e^
ANIMAL  a n i m a l
ANIMAL  a n i m a l q
ANIMALITÉ  a n i m a l i t e
ANIMAUX  a n i m o z
ANIMAUX  a n i m o
ANIMENT  a n i m
ANIMÉE  a n i m e
ANNEAU  a n o
ANNEAUX  a n o
ANNEXE  a n e^ k s
ANNEXÉES  a n e^ k s e
ANNIHILÉES  a n i i l e
ANNIVERSAIRE  a n i v e^ r s e^ r
ANNONCE  a n o~ s
ANNONCENT  a n o~ s t
ANNONCENT  a n o~ s
ANNONCER  a n o~ s e
ANNONCEREZ  a n o~ s x^ r e
ANNONCÉ  a n o~ s e
ANNONÇA  a n o~ s a
ANNONÇAIENT  a n o~ s e^ t
ANNONÇAIENT  a n o~ s e^
ANNONÇAIT  a n o~ s e^
ANNONÇAIT  a n o~ s e^ t
ANNONÇANT  a n o~ s a~
ANNONÇÂT  a n o~ s a
ANNUELLE  a n h e^ l
ANNUELLEMENT  a n h e^ l m a~
ANNUELLEMENT  a n h e^ l m a~ t
ANNULE  a n y l
ANNÉE  a n e
ANNÉES  a n e
ANNÉES  a n e z
ANODINES  a n o^ d i n z
ANOMALIE  a n o^ m a l i
ANOMALIES  a n o^ m a l i
ANONYME  a n o^ n i m
ANONYMES  a n o^ n i m
ANS  a~
ANS  a~ z
ANSELME  a~ s e^ l m
ANSELME  a~ s e^ l m q
ANTICHAMBRE  a~ t i s^ a~ b r q
ANTICHAMBRE  a~ t i s^ a~ b r
ANTICHAMBRES  a~ t i s^ a~ b r
ANTICONJUGAL  a~ t i k o~ z^ y g a l
ANTIENNES  a~ t j e^ n q
ANTIPATHIQUE  a~ t i p a t i k
ANTIPODES  a~ t i p o^ d
ANTIQUAILLE  a~ t i k a j
ANTIQUE  a~ t i k
ANTIQUES  a~ t i k
ANTIQUITÉ  a~ t i k i t e
ANTOINE  a~ t w a n q
ANTRE  a~ t r
ANTRE  a~ t r q
ANTÉCÉDENTS  a~ t e s e d a~
ANTÉRIEUR  a~ t e r j x^ r
ANTÉRIEURS  a~ t e r j x^ r
ANXIÉTÉ  a~ k s j e t e
ANXIÉTÉS  a~ k s j e t e
ANÉANTI  a n e a~ t i
ANÉANTIE  a n e a~ t i
AOÛT  u t
APAISER  a p e z e
APAISÉE  a p e z e
APATHIE  a p a t i
APERCEVAIT  a p e^ r s x^ v e^
APERCEVANT  a p e^ r s x^ v a~
APERCEVOIR  a p e^ r s x^ v w a r
APERÇOIT  a p e^ r s w a
APERÇOIT  a p e^ r s w a t
APERÇOIVENT  a p e^ r s w a v q
APERÇU  a p e^ r s y
APERÇUE  a p e^ r s y
APERÇUS  a p e^ r s y
APERÇUT  a p e^ r s y
APERÇUT  a p e^ r s y t
APITOYAIT  a p i t w a j e^
APITOYER  a p i t w a j e
APLATI  a p l a t i
APLATIE  a p l a t i
APLATIT  a p l a t i
APLAUDIR  a p l o d i r
APOLOGUE  a p o^ l o^ g q
APPARAISSAIT  a p a r e^ s e^
APPARAISSAIT  a p a r e^ s e^ t
APPARAISSENT  a p a r e^ s
APPARAÎT  a p a r e^
APPARAÎTRE  a p a r e^ t r
APPARENCE  a p a r a~ s
APPARENCE  a p a r a~ s q
APPARENCES  a p a r a~ s
APPARENTE  a p a r a~ t
APPARENTE  a p a r a~ t q
APPARENTS  a p a r a~
APPARITION  a p a r i s j o~
APPARTEMENT  a p a r t x^ m a~
APPARTEMENTS  a p a r t x^ m a~
APPARTENAIENT  a p a r t x^ n e^ t
